Voltage,Time,Time (UTC)
0.014088274421052628,0.0,1612308243717066000
0.008752964999999994,0.0009765625,1612308243718042562
0.005393696105263152,0.001953125,1612308243719019125
0.0034966971999999957,0.0029296875,1612308243719995687
0.002390114505263153,0.00390625,1612308243720972250
0.0008883237052631533,0.0048828125,1612308243721948812
-0.0013248416842105322,0.005859375,1612308243722925375
-0.006462547052631584,0.0068359375,1612308243723901937
-0.012469710252631584,0.0078125,1612308243724878500
-0.01764693643157895,0.0087890625,1612308243725855062
-0.0215199758631579,0.009765625,1612308243726831625
-0.02124333018947369,0.0107421875,1612308243727808187
-0.02191518396842106,0.01171875,1612308243728784750
-0.024088828547368428,0.0126953125,1612308243729761312
-0.02638103555789474,0.013671875,1612308243730737875
-0.030728324715789478,0.0146484375,1612308243731714437
-0.03238819875789474,0.015625,1612308243732691000
-0.032585802810526324,0.0166015625,1612308243733667562
-0.03290196929473685,0.017578125,1612308243734644125
-0.02887084662105264,0.0185546875,1612308243735620687
-0.026183431505263165,0.01953125,1612308243736597250
-0.026815764473684216,0.0205078125,1612308243737573812
-0.024523557463157902,0.021484375,1612308243738550375
-0.024365474221052636,0.0224609375,1612308243739526937
-0.023179849905263162,0.0234375,1612308243740503500
-0.017607415621052638,0.0244140625,1612308243741480062
-0.013694855378947374,0.025390625,1612308243742456625
-0.006660151105263162,0.0263671875,1612308243743433187
-0.0017990914105263205,0.02734375,1612308243744409750
-9.969655789474063e-05,0.0283203125,1612308243745386312
0.004405675842105258,0.029296875,1612308243746362875
0.005709862589473678,0.0302734375,1612308243747339437
0.009108652294736837,0.03125,1612308243748316000
0.01499725306315789,0.0322265625,1612308243749292562
0.01962118789473684,0.033203125,1612308243750269125
0.02515410136842105,0.0341796875,1612308243751245687
0.025509788663157888,0.03515625,1612308243752222250
0.023849914621052626,0.0361328125,1612308243753198812
0.023454706515789472,0.037109375,1612308243754175375
0.023019977599999998,0.0380859375,1612308243755151937
0.02464033083157894,0.0390625,1612308243756128500
0.025272663799999998,0.0400390625,1612308243757105062
0.025391226231578946,0.041015625,1612308243758081625
0.024363685157894735,0.0419921875,1612308243759058187
0.02013495843157894,0.04296875,1612308243760034750
0.014799649010526314,0.0439453125,1612308243761011312
0.01045235985263157,0.044921875,1612308243761987875
0.008673923378947363,0.0458984375,1612308243762964437
0.006974528526315783,0.046875,1612308243763941000
0.005551779347368415,0.0478515625,1612308243764917562
0.0013625734315789416,0.048828125,1612308243765894125
-0.00444698571578948,0.0498046875,1612308243766870687
-0.008715233252631583,0.05078125,1612308243767847250
-0.014564313210526321,0.0517578125,1612308243768823812
-0.017528374000000006,0.052734375,1612308243769800375
-0.02013674749473685,0.0537109375,1612308243770776937
-0.021282851000000005,0.0546875,1612308243771753500
-0.020531955600000006,0.0556640625,1612308243772730062
-0.024681640705263165,0.056640625,1612308243773706625
-0.028159472031578953,0.0576171875,1612308243774683187
-0.03064928309473685,0.05859375,1612308243775659750
-0.03187442822105264,0.0595703125,1612308243776636312
-0.029977429315789478,0.060546875,1612308243777612875
-0.028554680136842113,0.0615234375,1612308243778589437
-0.026064869073684216,0.0625,1612308243779566000
-0.02424691178947369,0.0634765625,1612308243780542562
-0.025313973673684216,0.064453125,1612308243781519125
-0.024088828547368428,0.0654296875,1612308243782495687
-0.023575058010526322,0.06640625,1612308243783472250
-0.021203809378947374,0.0673828125,1612308243784448812
-0.013971501052631584,0.068359375,1612308243785425375
-0.012074502147368426,0.0693359375,1612308243786401937
-0.009979899189473689,0.0703125,1612308243787378500
-0.0063835054315789525,0.0712890625,1612308243788355062
-0.0059092557052631625,0.072265625,1612308243789331625
-0.0035380070736842142,0.0732421875,1612308243790308187
-0.0002973006105263208,0.07421875,1612308243791284750
0.004168550978947364,0.0751953125,1612308243792261312
0.008436798515789469,0.076171875,1612308243793237875
0.011124213631578943,0.0771484375,1612308243794214437
0.01321881658947368,0.078125,1612308243795191000
0.013732587126315782,0.0791015625,1612308243796167562
0.014523003336842102,0.080078125,1612308243797144125
0.014839169821052628,0.0810546875,1612308243798120687
0.017210418452631576,0.08203125,1612308243799097250
0.020806812210526313,0.0830078125,1612308243800073812
0.020016396,0.083984375,1612308243801050375
0.02088585383157894,0.0849609375,1612308243802026937
0.019937354378947364,0.0859375,1612308243803003500
0.01562958603157894,0.0869140625,1612308243803980062
0.01713137683157894,0.087890625,1612308243804956625
0.015076294684210519,0.0888671875,1612308243805933187
0.013495462263157891,0.08984375,1612308243806909750
0.014127795231578942,0.0908203125,1612308243807886312
0.008752964999999994,0.091796875,1612308243808862875
0.0068164452842105205,0.0927734375,1612308243809839437
0.0027062809894736785,0.09375,1612308243810816000
-0.0004158630421052696,0.0947265625,1612308243811792562
-0.0013248416842105322,0.095703125,1612308243812769125
-0.00555356841052632,0.0966796875,1612308243813745687
-0.005118839494736849,0.09765625,1612308243814722250
-0.009545170273684216,0.0986328125,1612308243815698812
-0.013655334568421058,0.099609375,1612308243816675375
-0.015512812663157901,0.1005859375,1612308243817651937
-0.01993914344210527,0.1015625,1612308243818628500
-0.01938585209473685,0.1025390625,1612308243819605062
-0.02234991288421053,0.103515625,1612308243820581625
-0.0237726620631579,0.1044921875,1612308243821558187
-0.022982245852631585,0.10546875,1612308243822534750
-0.027210972578947376,0.1064453125,1612308243823511312
-0.02800138878947369,0.107421875,1612308243824487875
-0.02819899284210527,0.1083984375,1612308243825464437
-0.02788282635789474,0.109375,1612308243826441000
-0.025511577726315796,0.1103515625,1612308243827417562
-0.024444515842105267,0.111328125,1612308243828394125
