Voltage,Time,Time (UTC)
-0.005111953455014049,0.0,1612308889418536000
-0.005349894832794643,0.0009765625,1612308889419512562
-0.005738532416502948,0.001953125,1612308889420489125
-0.005786120692059067,0.0029296875,1612308889421465687
-0.004548825527599975,0.00390625,1612308889422442250
-0.004747110009083805,0.0048828125,1612308889423418812
-0.004691590354268332,0.005859375,1612308889424395375
-0.004580551044637388,0.0068359375,1612308889425371937
-0.005294375177979172,0.0078125,1612308889426348500
-0.004556756906859328,0.0087890625,1612308889427325062
-0.004556756906859328,0.009765625,1612308889428301625
-0.004564688286118682,0.0107421875,1612308889429278187
-0.0038032758772207796,0.01171875,1612308889430254750
-0.0046043451824154475,0.0126953125,1612308889431231312
-0.004548825527599975,0.013671875,1612308889432207875
-0.0038350013942581923,0.0146484375,1612308889433184437
-0.0044774431142657976,0.015625,1612308889434161000
-0.003969834841667196,0.0166015625,1612308889435137562
-0.003708099326108542,0.017578125,1612308889436114125
-0.004818492422417982,0.0185546875,1612308889437090687
-0.0042077762194477905,0.01953125,1612308889438067250
-0.00365257967129307,0.0205078125,1612308889439043812
-0.0034622265690685944,0.021484375,1612308889440020375
-0.002899098641654521,0.0224609375,1612308889440996937
-0.0035415403616621257,0.0234375,1612308889441973500
-0.003866726911295605,0.0244140625,1612308889442950062
-0.0033432558801782973,0.025390625,1612308889443926625
-0.002145617612015972,0.0263671875,1612308889444903187
-0.0015983524431206048,0.02734375,1612308889445879750
-0.0017728427868263738,0.0283203125,1612308889446856312
-0.0017093917527515488,0.029296875,1612308889447832875
-0.002375627610537213,0.0302734375,1612308889448809437
-0.0015745583053425453,0.03125,1612308889449786000
-0.00048002796755181043,0.0322265625,1612308889450762562
8.309995986226226e-05,0.033203125,1612308889451739125
0.0013838461583961792,0.0341796875,1612308889452715687
0.0010745223672814063,0.03515625,1612308889453692250
0.0009634830576504619,0.0361328125,1612308889454668812
0.0016773071909922457,0.037109375,1612308889455645375
0.0022959547732217906,0.0380859375,1612308889456621937
0.0032001320087880498,0.0390625,1612308889457598500
0.0028194258043390983,0.0400390625,1612308889458575062
0.0021690527050721407,0.041015625,1612308889459551625
0.0019231799480321932,0.0419921875,1612308889460528187
0.001645581673954833,0.04296875,1612308889461504750
0.0014710913302490632,0.0439453125,1612308889462481312
0.001510748226545829,0.044921875,1612308889463457875
0.0007493358176479271,0.0458984375,1612308889464434437
-0.0005434790016266358,0.046875,1612308889465411000
-0.0017569800283076674,0.0478515625,1612308889466387562
-0.003993628979445255,0.048828125,1612308889467364125
-0.004810561043158629,0.0498046875,1612308889468340687
-0.005532316555759766,0.05078125,1612308889469317250
-0.0068489255128123885,0.0517578125,1612308889470293812
-0.006285797585398315,0.052734375,1612308889471270375
-0.006603052755772441,0.0537109375,1612308889472246937
-0.007729308610600588,0.0546875,1612308889473223500
-0.009022123429875151,0.0556640625,1612308889474200062
-0.011227046863975326,0.056640625,1612308889475176625
-0.012361234098062827,0.0576171875,1612308889476153187
-0.01156809617212751,0.05859375,1612308889477129750
-0.009958026182478822,0.0595703125,1612308889478106312
-0.008800044810613264,0.060546875,1612308889479082875
-0.008205191366161777,0.0615234375,1612308889480059437
-0.008157603090605658,0.0625,1612308889481036000
-0.0086414172254262,0.0634765625,1612308889482012562
-0.009085574463949976,0.064453125,1612308889482989125
-0.008355887572089486,0.0654296875,1612308889483965687
-0.00634924861947314,0.06640625,1612308889484942250
-0.004326746908338087,0.0673828125,1612308889485918812
-0.003026000709804171,0.068359375,1612308889486895375
-0.002978412434248052,0.0693359375,1612308889487871937
-0.0020821665779411466,0.0703125,1612308889488848500
-0.0004165769334769859,0.0712890625,1612308889489825062
-3.587072902803447e-05,0.072265625,1612308889490801625
0.001233149952468469,0.0732421875,1612308889491778187
0.001732826845807717,0.07421875,1612308889492754750
0.001597993398398714,0.0751953125,1612308889493731312
0.003794985453239536,0.076171875,1612308889494707875
0.004873653032511564,0.0771484375,1612308889495684437
0.005309878891775988,0.078125,1612308889496661000
0.005936457853264886,0.0791015625,1612308889497637562
0.004675368551027736,0.080078125,1612308889498614125
0.0039932699347233645,0.0810546875,1612308889499590687
0.0032873771806409347,0.08203125,1612308889500567250
0.0029066709761919832,0.0830078125,1612308889501543812
0.004207417174725899,0.083984375,1612308889502520375
0.003041504423600987,0.0849609375,1612308889503496937
0.0015266109850645354,0.0859375,1612308889504473500
0.0012966009865432943,0.0869140625,1612308889505450062
-0.0003055376238460415,0.087890625,1612308889506426625
-0.0007021065868136988,0.0888671875,1612308889507403187
-0.0008607341720007619,0.08984375,1612308889508379750
-0.0015904210638612516,0.0908203125,1612308889509356312
-0.001986990026828909,0.091796875,1612308889510332875
-0.0033511872594376504,0.0927734375,1612308889511309437
-0.004342609666856794,0.09375,1612308889512286000
-0.005199198626866934,0.0947265625,1612308889513262562
-0.0059050913809493635,0.095703125,1612308889514239125
-0.00634924861947314,0.0966796875,1612308889515215687
-0.00677754309947821,0.09765625,1612308889516192250
-0.006269934826879609,0.0986328125,1612308889517168812
-0.006238209309842196,0.099609375,1612308889518145375
-0.006277866206138962,0.1005859375,1612308889519121937
-0.006729954823922092,0.1015625,1612308889520098500
-0.008522446536535902,0.1025390625,1612308889521075062
-0.008887289982466146,0.103515625,1612308889522051625
-0.00763413205948835,0.1044921875,1612308889523028187
-0.006523738963178909,0.10546875,1612308889524004750
-0.0059923365528022484,0.1064453125,1612308889524981312
-0.006293728964657668,0.107421875,1612308889525957875
-0.006634778272809854,0.1083984375,1612308889526934437
-0.006412699653547965,0.109375,1612308889527911000
