ALPHAENC,PMWT
-3.993,-2.8249
-2.013,-1.1715
-0.014,-0.00778
2.027,0.65488
4.009,0.78942
5.953,0.43404
8.014,-0.46932
9.995,-1.8474
11.027,-2.7627
11.975,-3.7224
13.022,-4.9142
13.995,-6.1456
14.97,-7.4988
16.041,-9.12242
16.96,-10.63
18.052,-12.557
18.996,-14.342
19.968,-16.294
21.018,-18.534
22.007,-20.766
22.973,-23.06
24.009,-25.646
