RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
13,2262,1,35.276,36.612,21.161,21.686,0.00000,0.90217,0.21527,-0.06479,1385757,1108606,-0.56226
13,2262,2,35.021,36.353,21.161,21.689,0.00000,0.90633,0.21645,-0.06571,1380602,1104482,-0.53664
13,2262,3,34.977,36.307,21.161,21.689,0.00000,0.90682,0.21640,-0.06565,1379663,1103730,-0.53362
13,2262,4,35.139,36.473,21.161,21.688,0.00000,0.90437,0.21585,-0.06518,1382658,1106127,-0.54868
13,2262,5,35.346,36.534,19.985,20.536,0.00000,0.94372,0.20015,-0.05966,1383708,1106967,-0.37331
13,2262,6,35.337,36.385,19.001,19.578,0.00000,0.98756,0.18658,-0.05457,1380699,1104559,-0.17210
13,2262,7,35.497,36.368,17.996,18.613,0.00000,1.0530,0.17012,-0.04595,1380326,1104261,0.12965
13,2262,8,35.369,36.014,17.010,17.676,0.00000,1.1343,0.15000,-0.03200,1373477,1098782,0.49968
13,2262,9,35.131,35.590,15.983,16.674,0.00000,1.1755,0.13040,-0.02133,1365226,1092181,0.66928
13,2262,10,35.320,35.449,15.041,15.802,0.00000,1.2908,0.09965,0.00226,1362416,1089933,1.1812
13,2262,11,34.989,35.102,13.971,14.696,0.00000,1.2327,0.08988,0.00114,1355645,1084516,0.88707
13,2262,12,35.050,35.159,12.998,13.686,0.00000,1.1705,0.08160,-0.00008,1356744,1085395,0.58768
13,2262,13,35.007,35.113,11.985,12.631,0.00000,1.1017,0.07305,-0.00112,1355784,1084627,0.25421
13,2262,14,35.028,35.136,11.013,11.616,0.00000,1.0301,0.06538,-0.00192,1356152,1084921,-0.09159
13,2262,15,35.058,35.172,10.030,10.586,0.00000,0.95365,0.05825,-0.00256,1356776,1085421,-0.46043
13,2262,16,34.977,35.104,7.950,8.403,0.00000,0.78344,0.04482,-0.00356,1355418,1084335,-1.2791
13,2262,17,34.768,34.906,5.999,6.354,0.00000,0.62127,0.03471,-0.00472,1351574,1081259,-2.0486
13,2262,18,34.978,35.128,4.037,4.291,0.00000,0.45552,0.02667,-0.00583,1355761,1084609,-3.2070
13,2262,19,35.268,35.430,2.007,2.156,0.00000,0.28126,0.02128,-0.00723,1361426,1089141,-4.4673
13,2262,20,34.949,35.116,-0.019,0.025,0.00000,0.10746,0.01859,-0.00867,1355380,1084304,-5.6749
13,2262,21,35.008,35.179,-2.012,-2.072,0.00000,-0.06345,0.01824,-0.01029,1356509,1085207,-7.4881
13,2262,22,34.707,34.883,-4.001,-4.160,0.00000,-0.22671,0.02064,-0.01252,1350712,1080570,-9.63125

