RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
3,2262,1,10.176,10.563,21.151,21.693,0.00000,0.93412,0.21615,-0.07261,748752,599001,-3.0306
3,2262,2,9.94600,10.325,21.151,21.695,0.00000,0.93734,0.21672,-0.07313,740261,592209,-2.9620
3,2262,3,9.87200,10.248,21.151,21.696,0.00000,0.93927,0.21702,-0.07338,737489,589991,-2.9400
3,2262,4,10.093,10.477,21.151,21.696,0.00000,0.93893,0.21699,-0.07309,745696,596557,-3.0058
3,2262,5,10.074,10.411,20.011,20.570,0.00000,0.96249,0.19819,-0.06376,743309,594647,-2.9999
3,2262,6,9.99700,10.285,18.981,19.563,0.00000,1.0004,0.18101,-0.05428,738803,591043,-2.9765
3,2262,7,10.000,10.237,17.996,18.604,0.00000,1.0439,0.16217,-0.04198,737083,589667,-2.9769
3,2262,8,9.95700,10.144,17.014,17.644,0.00000,1.0805,0.14314,-0.02970,733728,586983,-2.9637
3,2262,9,10.018,10.165,16.006,16.647,0.00000,1.0976,0.12589,-0.02074,734478,587582,-2.9817
3,2262,10,10.060,10.138,15.001,15.674,0.00000,1.1507,0.09886,0.00052,733500,586800,-2.9936
3,2262,11,9.88300,9.94912,14.004,14.655,0.00000,1.1141,0.08921,0.00061,726616,581293,-2.9414
3,2262,12,9.87500,9.93520,13.005,13.624,0.00000,1.0615,0.08039,-0.00025,726107,580886,-2.9397
3,2262,13,9.90900,9.96470,11.979,12.560,0.00000,0.99925,0.07145,-0.00070,727172,581738,-2.9506
3,2262,14,10.033,10.086,11.028,11.570,0.00000,0.93536,0.06358,-0.00099,731569,585255,-2.9883
3,2262,15,10.001,10.052,9.985,10.483,0.00000,0.86240,0.05596,-0.00130,730337,584270,-2.9797
3,2262,16,9.98500,10.033,7.985,8.393,0.00000,0.71442,0.04228,-0.00102,729611,583689,-3.0475
3,2262,17,10.012,10.059,6.033,6.347,0.00000,0.55909,0.03129,-0.00011,730549,584439,-3.1740
3,2262,18,9.87700,9.92432,3.967,4.187,0.00000,0.40284,0.02347,-0.00206,725624,580499,-3.2668
3,2262,19,10.073,10.122,2.025,2.155,0.00000,0.25482,0.01826,-0.00448,732804,586243,-3.4963
3,2262,20,9.98400,10.033,0.011,0.049,0.00000,0.10273,0.01548,-0.00782,729554,583643,-3.6600
3,2262,21,9.96700,10.018,-2.045,-2.099,0.00000,-0.04941,0.01533,-0.01196,728982,583186,-3.8824
3,2262,22,10.006,10.059,-3.987,-4.129,0.00000,-0.19401,0.01753,-0.01683,730508,584406,-4.1449

