RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
10,2262,1,9.97700,10.356,21.159,21.689,0.00000,0.91522,0.21416,-0.07275,739157,591325,-2.9715
10,2262,2,9.98200,10.360,21.159,21.688,0.00000,0.91268,0.21346,-0.07246,739316,591453,-2.9731
10,2262,3,9.95700,10.335,21.159,21.689,0.00000,0.91463,0.21409,-0.07271,738412,590729,-2.9656
10,2262,4,9.97500,10.354,21.159,21.688,0.00000,0.91367,0.21404,-0.07272,739118,591294,-2.9710
10,2262,5,10.013,10.351,19.994,20.547,0.00000,0.95255,0.19879,-0.06611,739020,591216,-2.9818
10,2262,6,10.075,10.373,18.966,19.548,0.00000,1.0001,0.18470,-0.05884,739816,591853,-2.9997
10,2262,7,10.157,10.417,18.036,18.641,0.00000,1.0383,0.17020,-0.05172,741343,593074,-3.0237
10,2262,8,10.129,10.326,16.956,17.602,0.00000,1.1057,0.14932,-0.03762,738120,590496,-3.0146
10,2262,9,10.092,10.228,16.044,16.724,0.00000,1.1630,0.12765,-0.02079,734606,587685,-3.0029
10,2262,10,10.128,10.207,14.992,15.697,0.00000,1.2037,0.10550,-0.00735,733866,587093,-3.0132
10,2262,11,10.149,10.195,14.014,14.719,0.00000,1.2034,0.08959,0.00187,733437,586750,-3.0195
10,2262,12,10.098,10.140,12.972,13.644,0.00000,1.1499,0.08112,0.00002,731449,585159,-3.0050
10,2262,13,10.139,10.180,12.011,12.648,0.00000,1.0919,0.07379,-0.00150,732887,586310,-3.0179
10,2262,14,10.122,10.164,10.990,11.583,0.00000,1.0197,0.06621,-0.00259,732299,585839,-3.0138
10,2262,15,10.039,10.082,10.004,10.553,0.00000,0.94659,0.05959,-0.00339,729347,583478,-2.9900
10,2262,16,10.050,10.097,7.963,8.412,0.00000,0.78124,0.04697,-0.00370,729913,583931,-3.0202
10,2262,17,10.080,10.132,6.009,6.358,0.00000,0.61622,0.03695,-0.00384,731181,584945,-3.1462
10,2262,18,10.015,10.071,4.032,4.282,0.00000,0.45254,0.02960,-0.00530,728976,583181,-3.2657
10,2262,19,9.97500,10.034,1.994,2.140,0.00000,0.28190,0.02431,-0.00712,727645,582116,-3.4322
10,2262,20,9.96000,10.022,-0.023,0.020,0.00000,0.11040,0.02165,-0.00912,727190,581752,-3.6395
10,2262,21,10.010,10.073,-1.988,-2.045,0.00000,-0.05334,0.02132,-0.01153,729066,583253,-3.9051
10,2262,22,9.93100,9.99635,-4.022,-4.180,0.00000,-0.22025,0.02400,-0.01549,726273,581018,-4.1694

