RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
2,2262,1,9.84200,9.89158,-3.989,-4.133,0.00000,-0.19702,0.01620,-0.01690,724059,579247,-4.0831
2,2262,2,10.068,10.116,-1.988,-2.045,0.00000,-0.05390,0.01365,-0.01157,732291,585833,-3.9285
2,2262,3,10.032,10.081,0.002,0.036,0.00000,0.09700,0.01520,-0.00790,731083,584866,-3.6863
2,2262,4,9.98800,10.037,1.978,2.105,0.00000,0.24917,0.01813,-0.00473,729501,583601,-3.4731
2,2262,5,10.114,10.163,4.018,4.238,0.00000,0.40343,0.02363,-0.00215,734084,587267,-3.3445
2,2262,6,10.026,10.074,5.997,6.308,0.00000,0.55324,0.03125,-0.00028,730932,584745,-3.1834
2,2262,7,10.055,10.104,7.987,8.393,0.00000,0.71103,0.04228,-0.00098,732057,585645,-3.0712
2,2262,8,9.97800,10.029,10.007,10.505,0.00000,0.86269,0.05591,-0.00126,729360,583488,-2.9729
2,2262,9,9.99300,10.047,11.030,11.571,0.00000,0.93326,0.06360,-0.00106,730020,584016,-2.9764
2,2262,10,9.98100,10.037,11.983,12.563,0.00000,0.99847,0.07129,-0.00080,729690,583752,-2.9721
2,2262,11,9.96400,10.024,13.019,13.638,0.00000,1.0619,0.07991,-0.00023,729200,583360,-2.9662
2,2262,12,10.022,10.089,13.985,14.634,0.00000,1.1114,0.08872,0.00042,731607,585285,-2.9828
2,2262,13,9.97100,10.048,15.012,15.684,0.00000,1.1489,0.09816,0.00066,730130,584104,-2.9672
2,2262,14,9.97500,10.119,15.975,16.616,0.00000,1.0982,0.12451,-0.02026,732727,586181,-2.9689
2,2262,15,9.87500,10.060,17.027,17.656,0.00000,1.0791,0.14281,-0.03028,730633,584506,-2.9393
2,2262,16,9.87000,10.104,17.998,18.604,0.00000,1.0402,0.16187,-0.04291,732250,585800,-2.9383
2,2262,17,10.053,10.342,19.009,19.592,0.00000,1.0025,0.18116,-0.05447,740829,592663,-2.9932
2,2262,18,10.022,10.356,20.009,20.568,0.00000,0.96303,0.19791,-0.06409,741330,593064,-2.9844
2,2262,19,9.91400,10.285,21.001,21.548,0.00000,0.94276,0.21440,-0.07186,738818,591055,-2.9524
2,2262,20,9.97800,10.353,21.001,21.549,0.00000,0.94443,0.21512,-0.07252,741221,592977,-2.9715
2,2262,21,10.025,10.402,21.001,21.549,0.00000,0.94443,0.21515,-0.07240,742980,594384,-2.9855
2,2262,22,10.032,10.408,21.001,21.546,0.00000,0.93989,0.21423,-0.07204,743208,594566,-2.9876

