RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
6,2262,1,35.318,36.665,21.152,21.690,0.00000,0.92257,0.21851,-0.06599,1388584,1110867,-0.45888
6,2262,2,35.073,36.409,21.152,21.689,0.00000,0.92105,0.21815,-0.06587,1383551,1106841,-0.46349
6,2262,3,35.077,36.411,21.152,21.688,0.00000,0.91974,0.21770,-0.06545,1383466,1106773,-0.47041
6,2262,4,35.022,36.357,21.152,21.690,0.00000,0.92281,0.21840,-0.06602,1382361,1105889,-0.45394
6,2262,5,35.352,36.540,19.996,20.552,0.00000,0.95289,0.20100,-0.05851,1385664,1108531,-0.32741
6,2262,6,35.110,36.135,19.001,19.583,0.00000,0.99615,0.18546,-0.05100,1377830,1102264,-0.13042
6,2262,7,35.001,35.884,18.012,18.607,0.00000,1.0174,0.16944,-0.04436,1372929,1098343,-0.04440
6,2262,8,35.095,35.748,16.977,17.612,0.00000,1.0826,0.14574,-0.02837,1370229,1096183,0.24360
6,2262,9,35.174,35.693,15.991,16.635,0.00000,1.0975,0.12911,-0.02140,1369069,1095255,0.29708
6,2262,10,35.116,35.339,15.037,15.737,0.00000,1.1904,0.09977,0.00138,1362110,1089688,0.70332
6,2262,11,35.019,35.217,13.989,14.654,0.00000,1.1332,0.08945,0.00116,1359712,1087769,0.42038
6,2262,12,35.015,35.196,13.014,13.643,0.00000,1.0732,0.08020,0.00084,1359229,1087383,0.12739
6,2262,13,35.098,35.263,11.979,12.567,0.00000,1.0058,0.07069,0.00062,1360427,1088342,-0.20149
6,2262,14,35.060,35.215,11.030,11.577,0.00000,0.93887,0.06254,0.00041,1359444,1087555,-0.52657
6,2262,15,35.020,35.167,9.963,10.463,0.00000,0.86145,0.05419,0.00030,1358450,1086760,-0.90136
6,2262,16,35.008,35.143,7.990,8.401,0.00000,0.71312,0.04038,0.00005,1357910,1086328,-1.6192
6,2262,17,34.878,35.006,6.019,6.337,0.00000,0.56026,0.02934,-0.00096,1355207,1084166,-2.4664
6,2262,18,35.040,35.164,4.025,4.250,0.00000,0.40737,0.02080,-0.00237,1358187,1086550,-3.5536
6,2262,19,34.772,34.894,1.943,2.070,0.00000,0.24504,0.01511,-0.00469,1352904,1082323,-4.6594
6,2262,20,34.945,35.069,0.036,0.075,0.00000,0.09969,0.01248,-0.00745,1356207,1084966,-5.7573
6,2262,21,34.891,35.018,-1.988,-2.042,0.00000,-0.05381,0.01217,-0.01099,1355095,1084076,-7.3609
6,2262,22,34.762,34.898,-4.002,-4.146,0.00000,-0.20236,0.01472,-0.01485,1352688,1082151,-9.30295

