RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
5,2262,2,34.654,34.790,-4.041,-4.187,0.00000,-0.20593,0.01485,-0.01505,1355697,1084558,-9.32376
5,2262,3,35.018,35.146,-1.945,-1.998,0.00000,-0.05112,0.01220,-0.01109,1362524,1090019,-7.3593
5,2262,4,35.060,35.184,0.010,0.047,0.00000,0.09748,0.01244,-0.00773,1363218,1090574,-5.7996
5,2262,5,35.017,35.140,1.956,2.084,0.00000,0.24612,0.01512,-0.00487,1362254,1089803,-4.6846
5,2262,6,35.036,35.160,4.017,4.242,0.00000,0.40635,0.02076,-0.00260,1362600,1090080,-3.5604
5,2262,7,35.037,35.165,5.979,6.295,0.00000,0.55777,0.02914,-0.00119,1362577,1090062,-2.4952
5,2262,8,35.096,35.231,7.994,8.404,0.00000,0.71280,0.04040,-0.00016,1363713,1090971,-1.6248
5,2262,9,35.069,35.216,10.037,10.540,0.00000,0.86630,0.05464,0.00012,1363324,1090659,-0.87915
5,2262,10,34.891,35.045,10.987,11.532,0.00000,0.93434,0.06200,0.00032,1359885,1087908,-0.54599
5,2262,11,35.037,35.203,12.011,12.599,0.00000,1.0056,0.07078,0.00047,1362810,1090248,-0.20189
5,2262,12,34.954,35.133,12.972,13.598,0.00000,1.0683,0.07950,0.00076,1361339,1089071,0.10367
5,2262,13,34.833,35.028,14.005,14.669,0.00000,1.1315,0.08905,0.00111,1359166,1087333,0.40990
5,2262,14,34.959,35.179,15.012,15.710,0.00000,1.1877,0.09919,0.00122,1361997,1089598,0.68672
5,2262,15,34.871,35.383,16.024,16.668,0.00000,1.0975,0.12881,-0.02120,1365788,1092630,0.29431
5,2262,16,34.808,35.455,16.982,17.615,0.00000,1.0805,0.14533,-0.02853,1367071,1093657,0.23121
5,2262,17,34.835,35.699,17.995,18.593,0.00000,1.0225,0.16795,-0.04319,1371656,1097325,-0.02115
5,2262,18,34.993,36.008,19.012,19.594,0.00000,0.99537,0.18451,-0.05015,1377486,1101989,-0.13474
5,2262,19,35.117,36.285,19.975,20.533,0.00000,0.95557,0.19975,-0.05765,1382641,1106113,-0.31337
5,2262,20,34.908,36.216,20.989,21.529,0.00000,0.92660,0.21578,-0.06482,1381171,1104937,-0.43653
5,2262,21,35.037,36.352,20.989,21.529,0.00000,0.92603,0.21606,-0.06524,1383567,1106854,-0.44067
5,2262,22,35.400,36.726,20.989,21.529,0.00000,0.92559,0.21573,-0.06483,1390566,1112453,-0.44773
5,2262,23,35.427,36.754,20.989,21.529,0.00000,0.92629,0.21576,-0.06478,1390948,1112759,-0.44458

