RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
20,2262,1,10.066,10.452,21.159,21.702,0.00000,0.93661,0.21789,-0.07421,742211,593769,-2.9978
20,2262,2,10.031,10.413,21.063,21.607,0.00000,0.93780,0.21688,-0.07371,740809,592647,-2.9873
20,2262,3,10.038,10.420,21.063,21.605,0.00000,0.93513,0.21641,-0.07352,741059,592847,-2.9894
20,2262,4,10.052,10.434,21.063,21.606,0.00000,0.93577,0.21639,-0.07333,741547,593238,-2.9936
20,2262,5,10.133,10.467,19.885,20.445,0.00000,0.96433,0.19641,-0.06319,742712,594170,-3.0174
20,2262,6,10.095,10.389,19.017,19.596,0.00000,0.99500,0.18194,-0.05546,739936,591949,-3.0057
20,2262,7,10.123,10.360,17.975,18.591,0.00000,1.0561,0.16205,-0.04187,738895,591116,-3.0134
20,2262,8,10.160,10.350,16.999,17.633,0.00000,1.0866,0.14332,-0.02888,738533,590826,-3.0240
20,2262,9,10.141,10.294,16.025,16.663,0.00000,1.0939,0.12728,-0.02187,736557,589246,-3.0183
20,2262,10,10.118,10.197,14.989,15.661,0.00000,1.1487,0.09857,0.00061,733065,586452,-3.0109
20,2262,11,10.061,10.128,13.993,14.642,0.00000,1.1111,0.08887,0.00067,730603,584483,-2.9944
20,2262,12,10.059,10.119,13.017,13.637,0.00000,1.0637,0.08001,0.00001,730265,584212,-2.9945
20,2262,13,10.103,10.160,11.971,12.552,0.00000,0.99931,0.07131,-0.00070,731721,585377,-3.0084
20,2262,14,10.124,10.177,11.007,11.549,0.00000,0.93541,0.06341,-0.00104,732370,585896,-3.0154
20,2262,15,10.106,10.158,9.983,10.483,0.00000,0.86554,0.05605,-0.00175,731657,585325,-3.0110
20,2262,16,9.99700,10.045,8.035,8.446,0.00000,0.71809,0.04242,-0.00105,727590,582072,-3.0486
20,2262,17,9.98600,10.033,5.977,6.290,0.00000,0.55627,0.03085,-0.00049,727140,581712,-3.1682
20,2262,18,9.93000,9.97647,3.984,4.205,0.00000,0.40436,0.02299,-0.00201,725093,580075,-3.2827
20,2262,19,9.98300,10.030,2.011,2.140,0.00000,0.25318,0.01758,-0.00468,727042,581633,-3.4669
20,2262,20,9.99000,10.039,0.029,0.069,0.00000,0.10604,0.01520,-0.00798,727319,581855,-3.6572
20,2262,21,10.076,10.127,-2.032,-2.085,0.00000,-0.04794,0.01511,-0.01254,730511,584409,-3.9226
20,2262,22,10.007,10.061,-3.999,-4.138,0.00000,-0.18939,0.01806,-0.01787,728138,582510,-4.1356

