RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
9,2262,2,10.115,10.178,-3.930,-4.086,0.00000,-0.21681,0.02207,-0.01481,731825,585460,-4.2391
9,2262,3,10.129,10.189,-2.040,-2.103,0.00000,-0.06461,0.01947,-0.01104,732336,585869,-3.9688
9,2262,4,10.056,10.115,0.018,0.059,0.00000,0.10721,0.01994,-0.00849,729746,583797,-3.6795
9,2262,5,10.079,10.139,2.012,2.158,0.00000,0.28089,0.02432,-0.00713,730687,584549,-3.4691
9,2262,6,10.108,10.165,3.963,4.208,0.00000,0.44511,0.02939,-0.00534,731688,585351,-3.3024
9,2262,7,10.105,10.157,6.019,6.367,0.00000,0.61488,0.03707,-0.00385,731485,585188,-3.1551
9,2262,8,10.067,10.115,8.015,8.465,0.00000,0.78394,0.04722,-0.00374,730026,584021,-3.0234
9,2262,9,10.083,10.126,10.018,10.567,0.00000,0.94598,0.05966,-0.00339,730506,584404,-3.0031
9,2262,10,10.066,10.107,10.969,11.561,0.00000,1.0171,0.06595,-0.00262,729867,583894,-2.9971
9,2262,11,10.065,10.106,12.021,12.656,0.00000,1.0893,0.07380,-0.00157,729870,583896,-2.9959
9,2262,12,10.042,10.084,12.958,13.629,0.00000,1.1475,0.08103,-0.00007,729102,583282,-2.9884
9,2262,13,10.006,10.053,14.034,14.736,0.00000,1.1997,0.08981,0.00180,728008,582406,-2.9770
9,2262,14,9.96800,10.044,15.015,15.720,0.00000,1.2046,0.10465,-0.00634,727713,582171,-2.9656
9,2262,15,9.90100,10.030,15.987,16.668,0.00000,1.1646,0.12582,-0.01994,727233,581786,-2.9461
9,2262,16,9.86900,10.053,16.964,17.616,0.00000,1.1155,0.14666,-0.03493,728110,582488,-2.9371
9,2262,17,9.95300,10.206,18.051,18.657,0.00000,1.0403,0.16994,-0.05190,733655,586924,-2.9629
9,2262,18,9.94700,10.240,18.989,19.571,0.00000,1.0010,0.18407,-0.05847,734904,587923,-2.9616
9,2262,19,9.92700,10.260,19.984,20.536,0.00000,0.95136,0.19780,-0.06587,735678,588542,-2.9562
9,2262,20,9.89900,10.269,21.004,21.537,0.00000,0.91870,0.21185,-0.07188,736016,588813,-2.9483
9,2262,21,9.86100,10.229,21.004,21.535,0.00000,0.91689,0.21142,-0.07163,734572,587658,-2.9370
9,2262,22,9.90400,10.274,21.004,21.537,0.00000,0.92003,0.21202,-0.07199,736184,588947,-2.9497
9,2262,23,10.016,10.390,21.004,21.536,0.00000,0.91858,0.21171,-0.07156,740361,592289,-2.9831

