RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
12,2262,2,34.540,34.716,-4.009,-4.169,0.00000,-0.22877,0.02078,-0.01269,1352045,1081636,-9.61352
12,2262,3,35.046,35.218,-1.979,-2.038,0.00000,-0.06169,0.01824,-0.01047,1361713,1089370,-7.4776
12,2262,4,34.815,34.981,-0.017,0.025,0.00000,0.10435,0.01854,-0.00898,1357071,1085657,-5.6858
12,2262,5,35.091,35.252,1.977,2.124,0.00000,0.27757,0.02119,-0.00751,1362192,1089753,-4.4709
12,2262,6,35.272,35.423,3.994,4.246,0.00000,0.45135,0.02647,-0.00615,1365414,1092331,-3.2634
12,2262,7,35.475,35.615,6.020,6.376,0.00000,0.62275,0.03461,-0.00495,1368954,1095163,-2.0831
12,2262,8,35.306,35.432,8.019,8.476,0.00000,0.79006,0.04506,-0.00368,1365288,1092231,-1.2592
12,2262,9,35.355,35.468,10.011,10.567,0.00000,0.95299,0.05801,-0.00279,1365890,1092712,-0.46768
12,2262,10,35.227,35.336,10.955,11.554,0.00000,1.0248,0.06482,-0.00215,1363221,1090577,-0.11786
12,2262,11,35.262,35.367,12.007,12.654,0.00000,1.1029,0.07297,-0.00127,1363676,1090940,0.26143
12,2262,12,35.127,35.234,12.992,13.679,0.00000,1.1701,0.08120,-0.00025,1360983,1088786,0.58632
12,2262,13,35.065,35.176,14.004,14.730,0.00000,1.2340,0.08978,0.00097,1359793,1087834,0.89516
12,2262,14,34.980,35.105,15.033,15.793,0.00000,1.2896,0.09913,0.00204,1358299,1086639,1.1637
12,2262,15,34.757,35.208,16.005,16.697,0.00000,1.1772,0.13014,-0.02131,1360183,1088146,0.67004
12,2262,16,35.126,35.757,16.983,17.651,0.00000,1.1372,0.14900,-0.03189,1370616,1096493,0.50877
12,2262,17,34.897,35.726,17.985,18.611,0.00000,1.0686,0.16818,-0.04347,1369940,1095952,0.19999
12,2262,18,34.514,35.534,19.002,19.578,0.00000,0.98597,0.18597,-0.05430,1366147,1092917,-0.17629
12,2262,19,35.295,36.484,20.028,20.578,0.00000,0.94279,0.20042,-0.05993,1384143,1107314,-0.37707
12,2262,20,35.166,36.475,20.964,21.494,0.00100,0.91045,0.21310,-0.06432,1383923,1107139,-0.52187
12,2262,21,35.097,36.405,20.964,21.495,0.00000,0.91207,0.21357,-0.06463,1382474,1105979,-0.51241
12,2262,22,35.204,36.512,20.964,21.494,0.00000,0.90950,0.21270,-0.06397,1384343,1107474,-0.52748
12,2262,23,35.113,36.419,20.964,21.494,0.00000,0.90948,0.21297,-0.06422,1382489,1105992,-0.52598

